GPU Devices:
[PhysicalDevice(name='/physical_device:GPU:0', device_type='GPU')]
{'loss': 0.6865, 'grad_norm': 5.807887077331543, 'learning_rate': 1.9981507165973186e-05, 'epoch': 0.0}
{'loss': 0.5486, 'grad_norm': 6.194164276123047, 'learning_rate': 1.9963014331946374e-05, 'epoch': 0.01}
{'loss': 0.4708, 'grad_norm': 5.222900390625, 'learning_rate': 1.994452149791956e-05, 'epoch': 0.01}
{'loss': 0.347, 'grad_norm': 8.11687183380127, 'learning_rate': 1.9926028663892744e-05, 'epoch': 0.01}
{'loss': 0.3695, 'grad_norm': 14.982717514038086, 'learning_rate': 1.990753582986593e-05, 'epoch': 0.01}
{'loss': 0.3215, 'grad_norm': 33.92002868652344, 'learning_rate': 1.9889042995839113e-05, 'epoch': 0.02}
{'loss': 0.123, 'grad_norm': 5.547091484069824, 'learning_rate': 1.9870550161812298e-05, 'epoch': 0.02}
{'loss': 0.2092, 'grad_norm': 11.61196231842041, 'learning_rate': 1.9852057327785486e-05, 'epoch': 0.02}
{'loss': 0.147, 'grad_norm': 1.6599972248077393, 'learning_rate': 1.983356449375867e-05, 'epoch': 0.02}
{'loss': 0.219, 'grad_norm': 12.551509857177734, 'learning_rate': 1.9815071659731855e-05, 'epoch': 0.03}
{'loss': 0.1501, 'grad_norm': 11.976578712463379, 'learning_rate': 1.9796578825705043e-05, 'epoch': 0.03}
{'loss': 0.1566, 'grad_norm': 7.294898986816406, 'learning_rate': 1.9778085991678228e-05, 'epoch': 0.03}
{'loss': 0.1564, 'grad_norm': 0.3399689197540283, 'learning_rate': 1.9759593157651413e-05, 'epoch': 0.04}
{'loss': 0.1087, 'grad_norm': 0.17350085079669952, 'learning_rate': 1.9741100323624597e-05, 'epoch': 0.04}
{'loss': 0.0352, 'grad_norm': 0.11479254812002182, 'learning_rate': 1.9722607489597782e-05, 'epoch': 0.04}
{'loss': 0.0954, 'grad_norm': 0.09693045169115067, 'learning_rate': 1.9704114655570967e-05, 'epoch': 0.04}
{'loss': 0.1478, 'grad_norm': 15.480420112609863, 'learning_rate': 1.9685621821544155e-05, 'epoch': 0.05}
{'loss': 0.1401, 'grad_norm': 13.978652000427246, 'learning_rate': 1.966712898751734e-05, 'epoch': 0.05}
{'loss': 0.1231, 'grad_norm': 0.29841768741607666, 'learning_rate': 1.9648636153490524e-05, 'epoch': 0.05}
{'loss': 0.1016, 'grad_norm': 0.1333283931016922, 'learning_rate': 1.9630143319463712e-05, 'epoch': 0.06}
{'loss': 0.1182, 'grad_norm': 19.27362060546875, 'learning_rate': 1.9611650485436893e-05, 'epoch': 0.06}
{'loss': 0.0759, 'grad_norm': 7.021205902099609, 'learning_rate': 1.9593157651410078e-05, 'epoch': 0.06}
{'loss': 0.0721, 'grad_norm': 1.9417697191238403, 'learning_rate': 1.9574664817383266e-05, 'epoch': 0.06}
{'loss': 0.0564, 'grad_norm': 3.127103090286255, 'learning_rate': 1.955617198335645e-05, 'epoch': 0.07}
{'loss': 0.0704, 'grad_norm': 0.028495151549577713, 'learning_rate': 1.9537679149329635e-05, 'epoch': 0.07}
{'loss': 0.029, 'grad_norm': 3.1021530628204346, 'learning_rate': 1.9519186315302823e-05, 'epoch': 0.07}
{'loss': 0.0935, 'grad_norm': 14.559082984924316, 'learning_rate': 1.9500693481276008e-05, 'epoch': 0.07}
{'loss': 0.112, 'grad_norm': 0.09938269108533859, 'learning_rate': 1.9482200647249193e-05, 'epoch': 0.08}
{'loss': 0.0139, 'grad_norm': 1.0090044736862183, 'learning_rate': 1.9463707813222377e-05, 'epoch': 0.08}
{'loss': 0.0913, 'grad_norm': 0.55511474609375, 'learning_rate': 1.9445214979195562e-05, 'epoch': 0.08}
{'loss': 0.0574, 'grad_norm': 0.06087494641542435, 'learning_rate': 1.9426722145168747e-05, 'epoch': 0.09}
{'loss': 0.1606, 'grad_norm': 11.647493362426758, 'learning_rate': 1.9408229311141935e-05, 'epoch': 0.09}
{'loss': 0.0489, 'grad_norm': 0.07842601090669632, 'learning_rate': 1.938973647711512e-05, 'epoch': 0.09}
{'loss': 0.128, 'grad_norm': 0.1566261351108551, 'learning_rate': 1.9371243643088304e-05, 'epoch': 0.09}
{'loss': 0.0715, 'grad_norm': 0.4652833342552185, 'learning_rate': 1.9352750809061492e-05, 'epoch': 0.1}
{'loss': 0.028, 'grad_norm': 0.03503091633319855, 'learning_rate': 1.9334257975034677e-05, 'epoch': 0.1}
{'loss': 0.096, 'grad_norm': 0.02801528014242649, 'learning_rate': 1.931576514100786e-05, 'epoch': 0.1}
